A1;;;
A2;;;
A4;;;
A5;;;
A6;;;
A7;;;
A8;;;
A9;;;
A10;;;
Anterior part of Smv;;anterior superior medullary velum;
Anterior part of the insula;;;
Anterior perforated substance;Tu;olfactory tubercle, anterior perforated space, anterior perforated substance, Tuberculum olfactorium;
Anterior periventricular nucleus of the hypothalamus;;;
Anterior pretectal nucleus;APT;;
Anterior PVT;aPVTh, aPVT;anterior paraventricular thalamus;
Anterior quadrangular lobule;AQL;;
Anterior septal region;;;
Anterior septum;;;
Anterior spinal cord;;;
Anterior subventricular zone;;;
Anterior tegmental nucleus;;;
Anterior thalamic nuclei;;;
Anterior transverse temporal gyrus;ATTG;;
Anterior ventral nucleus;;;
Anterodorsal nucleus of medial geniculate body;ADMG;;
Anterodorsal nucleus;AD;anterodorsal nucleus of the thalamus, anterodorsal nucleus, anterodorsal nucleus of thalamus, anterodorsal thalamic nucleus, Nucleus anterior dorsalis, Nucleus anterodorsalis;
Anterodorsal preoptic nucleus;;;
Anterolateral visual area;;;
Anteromedial nucleus of thalamus dorsal part;;Dorsal anteromedial nucleus;
Anteromedial nucleus of thalamus ventral part;;Ventral anteromedial nucleus;
Anteromedial nucleus;AM;anteromedial nucleus of the thalamus, anteromedial nucleus of thalamus, anteromedial thalamic nucleus, Nucleus anterior medialis, Nucleus anterior medialis thalami;
Anteromedial visual area;;;
Anteroventral cochlear nucleus;AVCo;Anterior Ventral Cochlear Nucleus;
Anteroventral nucleus;AV;anteroventral nucleus of the thalamus;
Anteroventral periventricular nucleus;AVPe;;
Anteroventral preoptic nucleus;;anteroventral;
Aplysia buccal ganglia;;;
Aplysia cerebral ganglia;;;
Aqueductal region;;;
Arbor Vitae;abv;;
Archistriatal fields;;archistriatal regions;
Archistriatum intermedium;;;
Archistriatum pars dorsalis;;;
Archistriatum pars ventrolateralis;;;
Archistriatum rostrodorsal;;;
Archistriatum;;;
Arcopallium;;;
arcuate nuclei;;;
Arcuate nucleus of hypothalamus;ArcH;arcuate hypothalamic nucleus, arcuate nucleus of hypothalamus, arcuate nucleus-2, arcuate periventricular nucleus, infundibular hypothalamic nucleus, infundibular nucleus, Nucleus infundibularis,arcuate nucleus,arcuate;
Arcuate nucleus of medulla;ArcM;arcuate nucleus-1, medial arcuate nucleus;
arcuate sulcus;;;
Area 3;;;
Area 8A;;;
Area 10;;;
Area 24;;;
Area 35;;;
Area CA2 of the hippocampus;;;
Area dentata;;;
Area occipitalis;;;
Area PITd;;PITd;
Area postrema;AP;chemoreceptor trigger zone;
Area pretectalis;;;
Area prostriata of DMVH2003;;;
Area striata;;;
Area TEO;;;
Area V2;;;
Area ventralis of Tsai;;ventral area of Tsai;
Area X;X;Area X of Olszewski;
Areas TE;;;
Areas TEO;;;
Areas V4;;;
Association nuclei;;;
associative caudate nucleus;;;
Auditory afferents;;;
Auditory area;;Auditory cortex,auditory cortices;
Auditory association cortex;;;
Auditory belt;;;
Auditory brainstem;;Auditory brain stem;
Auditory caudomedial neostriatum;;;
Auditory cortical fields;;Auditory cortical;
auditory field;;;
auditory forebrain;;;
auditory midbrain subdivision;;auditory midbrain;
auditory neocortex;;;
auditory nerve;;;
auditory nuclei;;auditory nucleus;
auditory nucleus of the torus semicircularis;;;
auditory recipient;;;
auditory relay nucleus;;;
auditory strip;;;
auditory thalamus;;auditory thalamic;
Autonomic nuclei;;;
Autonomic preganglionic neurons;;;
Banks of superior temporal sulcus;;;
